id,card_number,customer_id,card_type_id
2010,104756649785,100000001,1001
2011,104756649786,100000002,1002
2012,104756649787,100000003,1003
2013,104756649788,100000004,1004
2014,104756649789,100000005,1005
2015,104756649790,100000006,1006
2016,104756649791,100000007,1007
2017,104756649792,100000008,1008
2018,104756649793,100000009,1009
2019,104756649794,100000010,1010
2020,104756649795,100000011,1011
2021,104756649796,100000012,1012
2022,104756649797,100000013,1013
2023,104756649798,100000014,1001
2024,104756649799,100000015,1002
2025,104756649800,100000016,1003
2026,104756649801,100000017,1004
2027,104756649802,100000018,1005
2028,104756649803,100000019,1001
2029,104756649804,100000020,1002
2030,104756649805,100000021,1003
2031,104756649806,100000022,1004
2032,104756649807,100000023,1005
2033,104756649808,100000024,1001
2034,104756649809,100000025,1002
2035,104756649810,100000026,1003
2036,104756649811,100000027,1004
2037,104756649812,100000028,1005
2038,104756649813,100000029,1001
2039,104756649814,100000030,1002
2040,104756649815,100000031,1003
2041,104756649816,100000032,1004
2042,104756649817,100000033,1005
2043,104756649818,100000034,1006
2044,104756649819,100000035,1007
2045,104756649820,100000036,1008
2046,104756649821,100000037,1009
2047,104756649822,100000038,1010
2048,104756649823,100000039,1011
2049,104756649824,100000040,1012
2050,104756649825,100000041,1013
2051,104756649826,100000042,1001
2052,104756649827,100000043,1002
2053,104756649828,100000044,1003
2054,104756649829,100000045,1004
2055,104756649830,100000046,1005
2056,104756649831,100000047,1001
2057,104756649832,100000048,1002
2058,104756649833,100000049,1003
2059,104756649834,100000050,1004
2060,104756649835,100000051,1005
2061,104756649836,100000052,1001
2062,104756649837,100000053,1002
2063,104756649838,100000054,1003
2064,104756649839,100000055,1004
2065,104756649840,100000056,1005
2066,104756649841,100000057,1001
2067,104756649842,100000058,1002
2068,104756649843,100000059,1003
2069,104756649844,100000060,1004
2070,104756649845,100000061,1005
2071,104756649846,100000062,1006
2072,104756649847,100000063,1007
2073,104756649848,100000064,1008
2074,104756649849,100000065,1009
2075,104756649850,100000066,1010
2076,104756649851,100000067,1011
2077,104756649852,100000068,1012
2078,104756649853,100000069,1013
2079,104756649854,100000070,1001
2080,104756649855,100000071,1002
2081,104756649856,100000072,1003
2082,104756649857,100000073,1004
2083,104756649858,100000074,1005
2084,104756649859,100000075,1001
2085,104756649860,100000076,1002
2086,104756649861,100000077,1003
2087,104756649862,100000078,1004
2088,104756649863,100000079,1005
2089,104756649864,100000080,1001
2090,104756649865,100000081,1002
2091,104756649866,100000082,1003
2092,104756649867,100000083,1004
2093,104756649868,100000084,1005
2094,104756649869,100000085,1001
2095,104756649870,100000086,1002
2096,104756649871,100000087,1003
2097,104756649872,100000088,1004
2098,104756649873,100000089,1005
2099,104756649874,100000090,1006
2100,104756649875,100000091,1007
2101,104756649876,100000092,1008
2102,104756649877,100000093,1009
2103,104756649878,100000094,1010
2104,104756649879,100000095,1011
2105,104756649880,100000096,1012
2106,104756649881,100000097,1013
2107,104756649882,100000098,1001
2108,104756649883,100000099,1002
2109,104756649884,100000100,1003
2110,104756649885,100000101,1004
2111,104756649886,100000102,1005
2112,104756649887,100000103,1001
2113,104756649888,100000104,1002
2114,104756649889,100000105,1003
2115,104756649890,100000106,1004
2116,104756649891,100000107,1005
2117,104756649892,100000108,1001
2118,104756649893,100000109,1002
2119,104756649894,100000110,1003
2120,104756649895,100000111,1004
2121,104756649896,100000112,1005
2122,104756649897,100000113,1001
2123,104756649898,100000114,1002
2124,104756649899,100000115,1003
2125,104756649900,100000116,1004
2126,104756649901,100000117,1005
2127,104756649902,100000118,1006
2128,104756649903,100000119,1007
2129,104756649904,100000120,1008
2130,104756649905,100000121,1009
2131,104756649906,100000122,1010
2132,104756649907,100000123,1011
2133,104756649908,100000124,1012
2134,104756649909,100000125,1013
2135,104756649910,100000126,1001
2136,104756649911,100000127,1002
2137,104756649912,100000128,1003
2138,104756649913,100000129,1004
2139,104756649914,100000130,1005
2140,104756649915,100000131,1001
2141,104756649916,100000132,1002
2142,104756649917,100000133,1003
2143,104756649918,100000134,1004
2144,104756649919,100000135,1005
2145,104756649920,100000136,1001
2146,104756649921,100000137,1002
2147,104756649922,100000138,1003
2148,104756649923,100000139,1004
2149,104756649924,100000140,1005
2150,104756649925,100000141,1001
2151,104756649926,100000142,1002
2152,104756649927,100000143,1003
2153,104756649928,100000144,1004
2154,104756649929,100000145,1005
2155,104756649930,100000146,1006
2156,104756649931,100000147,1007
2157,104756649932,100000148,1008
2158,104756649933,100000149,1009
2159,104756649934,100000150,1010
2160,104756649935,100000151,1011
2161,104756649936,100000152,1012
2162,104756649937,100000153,1013
2163,104756649938,100000154,1001
2164,104756649939,100000155,1002
2165,104756649940,100000156,1003
2166,104756649941,100000157,1004
2167,104756649942,100000158,1005
2168,104756649943,100000159,1001
2169,104756649944,100000160,1002
2170,104756649945,100000161,1003
2171,104756649946,100000162,1004
2172,104756649947,100000163,1005
2173,104756649948,100000164,1001
2174,104756649949,100000165,1002
2175,104756649950,100000166,1003
2176,104756649951,100000167,1004
2177,104756649952,100000168,1005
2178,104756649953,100000169,1001
2179,104756649954,100000170,1002
2180,104756649955,100000171,1003
2181,104756649956,100000172,1004
2182,104756649957,100000173,1005
2183,104756649958,100000174,1006
2184,104756649959,100000175,1007
2185,104756649960,100000176,1008
2186,104756649961,100000177,1009
2187,104756649962,100000178,1010
2188,104756649963,100000179,1011
2189,104756649964,100000180,1012
2190,104756649965,100000181,1013
2191,104756649966,100000182,1001
2192,104756649967,100000183,1002
2193,104756649968,100000184,1003
2194,104756649969,100000185,1004
2195,104756649970,100000186,1005
2196,104756649971,100000187,1001
2197,104756649972,100000188,1002
2198,104756649973,100000189,1003
2199,104756649974,100000190,1004
2200,104756649975,100000191,1005
2201,104756649976,100000192,1001
2202,104756649977,100000193,1002
2203,104756649978,100000194,1003
2204,104756649979,100000195,1004
2205,104756649980,100000196,1005
2206,104756649981,100000197,1001
2207,104756649982,100000198,1002
2208,104756649983,100000199,1003
2209,104756649984,100000200,1004
2210,104756649985,100000201,1005
2211,104756649986,100000202,1006
2212,104756649987,100000203,1007
2213,104756649988,100000204,1008
2214,104756649989,100000205,1009
2215,104756649990,100000206,1010
2216,104756649991,100000207,1011
2217,104756649992,100000208,1012
2218,104756649993,100000209,1013
2219,104756649994,100000210,1001
2220,104756649995,100000211,1002
2221,104756649996,100000212,1003
2222,104756649997,100000213,1004
2223,104756649998,100000214,1005
2224,104756649999,100000215,1001
2225,104756650000,100000216,1002
2226,104756650001,100000217,1003
2227,104756650002,100000218,1004
2228,104756650003,100000219,1005
2229,104756650004,100000220,1001
2230,104756650005,100000221,1002
2231,104756650006,100000222,1003
2232,104756650007,100000223,1004
2233,104756650008,100000224,1005
2234,104756650009,100000225,1001
2235,104756650010,100000226,1002
2236,104756650011,100000227,1003
2237,104756650012,100000228,1004
2238,104756650013,100000229,1005
2239,104756650014,100000230,1006
2240,104756650015,100000231,1007
2241,104756650016,100000232,1008
2242,104756650017,100000233,1009
2243,104756650018,100000234,1010
2244,104756650019,100000235,1011
2245,104756650020,100000236,1012
2246,104756650021,100000237,1013
2247,104756650022,100000238,1001
2248,104756650023,100000239,1002
2249,104756650024,100000240,1003
2250,104756650025,100000241,1004
2251,104756650026,100000242,1005
2252,104756650027,100000243,1001
2253,104756650028,100000244,1002
2254,104756650029,100000245,1003
2255,104756650030,100000246,1004
2256,104756650031,100000247,1005
2257,104756650032,100000248,1001
2258,104756650033,100000249,1002
2259,104756650034,100000250,1003
2260,104756650035,100000251,1004
2261,104756650036,100000252,1005
2262,104756650037,100000253,1001
2263,104756650038,100000254,1002
2264,104756650039,100000255,1003
2265,104756650040,100000256,1004
2266,104756650041,100000257,1005
2267,104756650042,100000258,1006
2268,104756650043,100000259,1007
2269,104756650044,100000260,1008
2270,104756650045,100000261,1009
2271,104756650046,100000262,1010
2272,104756650047,100000263,1011
2273,104756650048,100000264,1012
2274,104756650049,100000265,1013
2275,104756650050,100000266,1001
2276,104756650051,100000267,1002
2277,104756650052,100000268,1003
2278,104756650053,100000269,1004
2279,104756650054,100000270,1005
2280,104756650055,100000271,1001
2281,104756650056,100000272,1002
2282,104756650057,100000273,1003
2283,104756650058,100000274,1004
2284,104756650059,100000275,1005
2285,104756650060,100000276,1001
2286,104756650061,100000277,1002
2287,104756650062,100000278,1003
2288,104756650063,100000279,1004
2289,104756650064,100000280,1005
2290,104756650065,100000281,1001
2291,104756650066,100000282,1002
2292,104756650067,100000283,1003
2293,104756650068,100000284,1004
2294,104756650069,100000285,1005
2295,104756650070,100000286,1006
2296,104756650071,100000287,1007
2297,104756650072,100000288,1008
2298,104756650073,100000289,1009
2299,104756650074,100000290,1010
2300,104756650075,100000291,1011
2301,104756650076,100000292,1012
2302,104756650077,100000293,1013
2303,104756650078,100000294,1001
2304,104756650079,100000295,1002
2305,104756650080,100000296,1003
2306,104756650081,100000297,1004
2307,104756650082,100000298,1005
2308,104756650083,100000299,1001
2309,104756650084,100000300,1002
2310,104756650085,100000301,1003
2311,104756650086,100000302,1004
2312,104756650087,100000303,1005
2313,104756650088,100000304,1001
2314,104756650089,100000305,1002
2315,104756650090,100000306,1003
2316,104756650091,100000307,1004
2317,104756650092,100000308,1005
2318,104756650093,100000309,1001
2319,104756650094,100000310,1002
2320,104756650095,100000311,1003
2321,104756650096,100000312,1004
2322,104756650097,100000313,1005
2323,104756650098,100000314,1006
2324,104756650099,100000315,1007
2325,104756650100,100000316,1008
2326,104756650101,100000317,1009
2327,104756650102,100000318,1010
2328,104756650103,100000319,1011
2329,104756650104,100000320,1012
2330,104756650105,100000321,1013
2331,104756650106,100000322,1001
2332,104756650107,100000323,1002
2333,104756650108,100000324,1003
2334,104756650109,100000325,1004
2335,104756650110,100000326,1005
2336,104756650111,100000327,1001
2337,104756650112,100000328,1002
2338,104756650113,100000329,1003
2339,104756650114,100000330,1004
2340,104756650115,100000331,1005
2341,104756650116,100000332,1001
2342,104756650117,100000333,1002
2343,104756650118,100000334,1003
2344,104756650119,100000335,1004
2345,104756650120,100000336,1005
2346,104756650121,100000337,1001
2347,104756650122,100000338,1002
2348,104756650123,100000339,1003
2349,104756650124,100000340,1004
2350,104756650125,100000341,1005
2351,104756650126,100000342,1006
2352,104756650127,100000343,1007
2353,104756650128,100000344,1008
2354,104756650129,100000345,1009
2355,104756650130,100000346,1010
2356,104756650131,100000347,1011
2357,104756650132,100000348,1012
2358,104756650133,100000349,1013
2359,104756650134,100000350,1001
2360,104756650135,100000351,1002
2361,104756650136,100000352,1003
2362,104756650137,100000353,1004
2363,104756650138,100000354,1005
2364,104756650139,100000355,1001
2365,104756650140,100000356,1002
2366,104756650141,100000357,1003
2367,104756650142,100000358,1004
2368,104756650143,100000359,1005
2369,104756650144,100000360,1001
2370,104756650145,100000361,1002
2371,104756650146,100000362,1003
2372,104756650147,100000363,1004
2373,104756650148,100000364,1005
2374,104756650149,100000365,1001
2375,104756650150,100000366,1002
2376,104756650151,100000367,1003
2377,104756650152,100000368,1004
2378,104756650153,100000369,1005
2379,104756650154,100000370,1006
2380,104756650155,100000371,1007
2381,104756650156,100000372,1008
2382,104756650157,100000373,1009
2383,104756650158,100000374,1010
2384,104756650159,100000375,1011
2385,104756650160,100000376,1012
2386,104756650161,100000377,1013
2387,104756650162,100000378,1001
2388,104756650163,100000379,1002
2389,104756650164,100000380,1003
2390,104756650165,100000381,1004
2391,104756650166,100000382,1005
2392,104756650167,100000383,1001
2393,104756650168,100000384,1002
2394,104756650169,100000385,1003
2395,104756650170,100000386,1004
2396,104756650171,100000387,1005
